,run_no_0,run_no_1,run_no_2,run_no_3,run_no_4,run_no_5,run_no_6,run_no_7,run_no_8,run_no_9,run_no_10,run_no_11,run_no_12,run_no_13,run_no_14,run_no_15,run_no_16,run_no_17,run_no_18,run_no_19,run_no_20,run_no_21,run_no_22,run_no_23,run_no_24,run_no_25,run_no_26,run_no_27,run_no_28,run_no_29,run_no_30,run_no_31,run_no_32,run_no_33,run_no_34,run_no_35,run_no_36,run_no_37,run_no_38,run_no_39,run_no_40,run_no_41,run_no_42,run_no_43,run_no_44,run_no_45,run_no_46,run_no_47,run_no_48,run_no_49,run_no_50,run_no_51,run_no_52,run_no_53,run_no_54,run_no_55,run_no_56,run_no_57,run_no_58,run_no_59,run_no_60,run_no_61,run_no_62,run_no_63,run_no_64,run_no_65,run_no_66,run_no_67,run_no_68,run_no_69,run_no_70,run_no_71,run_no_72,run_no_73,run_no_74,run_no_75,run_no_76,run_no_77,run_no_78,run_no_79,run_no_80,run_no_81,run_no_82,run_no_83,run_no_84,run_no_85,run_no_86,run_no_87,run_no_88,run_no_89,run_no_90,run_no_91,run_no_92,run_no_93,run_no_94,run_no_95,run_no_96,run_no_97,run_no_98,run_no_99,average,emp_q95,emp_q05,stat_q95,stat_q05
0,4852,30957,28981,14168,44027,14758,16388,17020,14181,13538,18679,19196,28888,16378,17156,21709,19022,25200,18679,18759,15016,20305,18425,19905,18231,33439,27478,16588,22368,23230,16486,18080,12798,15858,13022,16953,27701,27236,13283,15994,16833,20008,26259,20489,18823,15397,17934,17040,13396,27440,18220,20620,25695,21568,36151,16305,30779,16191,19222,18259,18722,19571,21773,29315,21126,16306,22418,23992,14702,13618,24967,22114,19910,22825,17355,22600,26315,801,11124,35095,22185,16785,8776,44985,26018,50616,37809,40266,45211,48670,28253,34470,32927,45352,27663,19293,19461,32606,17003,24078,22386,45288.55,11877.300000000001,24312.125413211386,20701.250314943947
1,38767,33210,17697,30114,25584,25900,9586,10041,9569,13746,24911,13174,31489,13646,28660,26830,23421,28560,36278,18439,14229,13561,14288,12386,13622,31968,43385,29362,34006,35862,15002,28952,10446,26497,10500,16178,25637,22198,12964,28853,10861,38770,24397,13470,12781,10926,26903,15426,26633,41023,18644,21272,37571,50146,30120,25286,10363,10901,11202,30095,13393,13069,16756,14263,30988,32645,25081,27005,23796,10926,31164,39928,13788,25208,47754,31355,23276,52588,31621,22942,14724,19563,25770,16949,22446,32581,43543,18579,34285,21693,26843,27059,14204,29346,27244,14636,27892,21626,13732,16809,23633,45859.04999999999,10185.9,25703.018576552662,21734.96103509782
2,26442,19538,20128,37695,11094,19497,9605,26658,9877,13156,21105,10583,23767,10622,28548,25252,12844,37778,52619,16212,13270,15470,8665,12539,12734,45492,42979,32165,25263,10664,12791,15765,10643,24377,10696,13243,16734,16365,16721,22198,16174,27117,30343,14207,10708,27006,21959,14448,29716,33190,13162,15744,13495,33262,29119,26802,17138,10954,13063,10901,13029,13159,12971,13226,30244,13326,30257,13062,13134,11076,13231,30642,13288,20616,27749,27907,26608,55741,35243,26306,30141,21987,21972,21022,26326,58541,15637,32162,69098,23654,32248,110569,13808,22116,29968,14620,13484,14924,47402,20815,23016,57280.99999999999,10194.7,26098.933278538556,20349.6628379663
3,19534,21691,17818,30872,16757,19711,9853,23458,10251,12554,12944,32086,32439,10197,13109,25067,12639,28722,41994,12654,12799,15670,12533,10448,12561,29875,44817,28683,29507,12987,12586,13640,29911,29796,16672,12946,16598,30846,13265,13985,13321,31549,26560,12990,13343,30779,13288,10907,14369,27997,13232,29949,13375,16183,32925,29352,31492,31873,10854,14301,13330,13817,13387,25353,28697,13435,30474,13069,13230,30410,16719,30714,13441,14412,13242,27164,27856,42294,33002,26663,36939,22739,19593,19165,19357,71020,14665,45141,37735,18270,31655,97841,12352,14419,31773,16976,16589,13582,33522,23687,22608,44995.2,10339.65,25214.749984595008,20198.56749113315
4,20934,19762,18390,39048,21742,22185,10150,22568,10304,10702,12874,16306,32238,10566,15668,21299,10442,23359,23650,18688,10470,10416,10444,10559,10469,23794,47539,24007,29533,11636,10688,13861,29867,29954,17325,13183,16569,32903,17133,16950,13316,16908,27521,13370,13541,13450,11976,30572,13640,27325,13630,31295,13763,10972,29575,32893,20715,33672,28944,14672,13444,17112,9291,13505,30837,16778,28740,13551,13827,30762,32297,27571,13501,17238,13761,29075,32785,36547,37649,27669,34411,23018,22864,48278,15062,45794,16039,42714,31836,13725,34190,20533,15270,18098,29962,20929,31445,14712,36884,13950,21655,44407.99999999999,10354.4,23671.531127060553,19862.379552551094
5,19664,22215,18213,21145,22264,22835,10225,23247,10662,10760,10715,29090,23969,15873,24570,10877,10693,24116,10813,31250,10848,13649,10836,10468,10789,29229,31871,13016,23925,16985,13396,13788,24334,29928,17138,13551,16565,31464,13209,17334,13928,13988,48565,13338,13763,13657,13906,31219,13933,27480,13670,31405,13546,13443,30214,11031,19355,31482,31360,14827,18161,14786,16339,13585,31006,32493,13993,13903,13835,30998,30752,26492,13562,14048,13822,32035,13952,29310,24822,27123,34057,29804,39724,52097,15164,32938,12133,37909,57760,21407,25925,23037,16223,30477,36917,18297,32401,14410,14240,14756,21343,44586.549999999974,10675.95,23400.753797820707,19529.877270140456
6,12701,24430,19907,30953,10553,19438,10129,22839,10014,12694,12593,29478,29512,13134,12835,12558,13088,28620,13012,19225,12658,18772,12597,10534,12562,31489,29310,10797,28971,16043,13540,15952,30065,30146,14343,13349,16178,33172,13347,16946,13483,17028,66495,25632,13301,13431,12021,31404,13502,27711,13988,27533,10890,15768,30854,24488,14792,29778,31307,14701,13622,14983,14427,13609,30834,14866,14301,13605,13979,32148,21263,13822,13977,14273,13874,27837,13603,34980,14087,30215,35895,67591,12959,47752,23860,69313,13547,78627,13346,19269,30985,34656,14341,29781,49931,17361,31547,30441,14357,17305,22137,67097.8,10542.55,25135.80201881813,19787.25332098769
7,8819,17908,21069,27535,14839,19680,10309,10176,10415,12850,10673,28182,40102,12745,18895,12994,10641,12899,28595,16183,10776,23757,12936,28738,12827,32257,29660,27844,29336,13472,15955,13679,15774,27099,14568,13900,17260,16119,13468,14747,13352,14784,49756,14245,13414,13850,12456,13427,13615,28982,14167,31295,13400,15068,13539,28761,14183,18580,30945,14773,13964,13899,13881,14876,30348,14195,13885,13616,13467,30431,13993,14046,14053,15025,13877,29546,14580,38203,30874,40679,35637,14970,14049,33358,14641,19658,14163,92226,37486,23259,30626,30760,14393,30465,36626,16072,31874,52455,20420,20717,20935,45671.34999999998,10516.7,23388.16289877988,18761.1390429677
8,8808,17440,21536,25490,14920,19952,13047,10741,12906,12754,23824,31686,45582,12662,24267,12966,10832,10966,32905,16244,10712,23769,12910,12828,12892,32313,30361,52806,30254,16650,10789,14326,13663,14197,14854,14151,14776,14664,14669,16003,13742,14103,36042,13614,13847,13930,14278,14027,14021,23537,15268,31356,13124,13710,13448,17057,18868,15830,31681,15166,14237,13786,14048,15192,31019,14002,14206,14058,14215,31675,28245,14170,14239,15020,14370,29611,12972,30589,28119,33607,53273,18770,15448,17662,14626,15478,40586,17805,42655,16049,29831,31036,16705,31593,32224,22983,33460,31418,15497,14332,20225,44264.84999999999,10808.35,22260.01207650986,18475.389865237717
9,9858,17449,18177,21850,10552,23316,10191,10624,10639,10831,23983,32436,29832,13276,12840,10857,13014,10841,32141,13576,10854,23995,10740,10879,10880,29729,31134,42055,27903,14428,16571,13993,14289,14696,13966,14168,13671,14872,14269,14485,14145,13907,34693,13881,14249,14261,14084,14096,13911,25977,14760,17496,10715,13788,14757,14837,12586,14929,31377,15022,14030,15129,14448,15048,29007,14081,13806,14403,14121,31348,14515,13795,15012,14140,14221,34088,14853,31749,31739,27891,50670,15623,14226,14582,16353,19475,29326,69108,78336,50449,30499,30666,14839,34064,15117,14696,30216,27924,14307,14669,19999,50570.55,10630.75,22525.076358873564,17884.638204233233
